index,summarization,keywords
0,北京精神病人被用束缚带绑床上，遭病友掐死；法院认定医院管理不当、值班护士失职，构成医疗事故罪。,医院 护士 医疗事故 病人 被害人 死亡 家属 巡视 提起 当班
1,世界卫生组织发布报告称，在过去10年，自杀取代难产死亡，成为全球年轻女性死亡的最主要原因,死亡 全球 自杀 难产 报告 女性 年轻 原因 取代 死因
2,温州瑞安重度烧伤孕妇已有清晰意识，急需A型血小板；5月9日其煮夜宵时发生爆燃，已收捐款超600万。,芙蓉 事故 血小板 爆炸 A型 已有 泄漏 献血 燃气 血站
3,据雅虎体育，莫里斯-威廉姆斯与骑士达成协议，将与詹皇重聚，他将签下2年430万美元的合同,骑士 消息人士 体育 协议 球员 签约 透露 助攻 最终 爆料
4,天津：5月31日起外地人买房不再送户口，取消蓝印户口政策，以“积分落户”取代。,户口 政策 孩子 落户 高考 取消 户籍 楼市 投资 改革
5,温州：男子半月内两次被炒鱿鱼 连砸30多辆车泄愤(图),派出所 砸车 工作 逃窜 大道 找到 指挥 惊醒 男子 路面
6,外交部称经过核实，索马里酒店爆炸致中国使馆武警1死3伤；去年10月起中国大使馆复馆后在此办公。,酒店 爆炸 办公 组织 外媒 半岛 皇宫 撤离 局势 核实
7,摩根士丹利国际首席执行官称，希腊最多达成暂时性协议，依然存在资本管制的风险，不会达成长期协议。,协议 依然 达成 长期 风险 管制 资本 欧元 退出 月份
8,河南截获1900支人体胎盘提取液，全部来自日本；伪装成酵素通关，可能携带艾滋病、乙肝等病原体(图),人体 检验 胎盘 邮件 检疫 物品 用于 艾滋病 出入境 制成
9,牡丹江：东宁县大肚川镇发生森林火灾，截至15日15时消防部门仍在扑救。,森林 扑救 火灾 部门 农民 发生 判定 初步 原因 起火
10,网爆河北一男孩在烈士陵园做出不雅动作，踢倒一块墓碑。网友怒斥：有辱烈士！(图),做出 网友 烈士陵园 动作 墓碑 男孩 革命烈士 太过分 孩子 应对
11,网友晒“福州花开四季图” 被赞为“赏花攻略”（图）,网友 公园 羊蹄甲 森林公园 蓝花 荷花 茶亭 摇曳 寂寞 拍摄
12,网曝刘翔葛天离婚内幕，系女方假孕骗婚，男方家人发现真相非常愤怒；因两人皆公众人物才一直未离婚(图),新婚 网友 离婚 退役 夫妻 图片 运动员 不合 骗婚 发现
13,国防部回应中国军机赴钓鱼岛空域：系正常巡逻,飞机 日方 巡逻 军队 官员 军机 战备 海域 地区 威胁
14,北京市发布霾黄色预警：预计7日白天到夜间，本市大部分地区仍有轻度～中度霾，能见度较低，请注意防范...,小于 预计 人员 地区 人群 减少 指南 持续 户外活动 防范
15,常州市发布大雾橙色预警：金坛、溧阳已经出现能见度小于200米的浓雾并将持续，预计未来6小时内常州地区可能出现能见...,单位 小于 浓雾 小时 预警 职责 橙色 能见度 发布 减少
16,承德市发布道路结冰黄色预警：预计未来12小时我市大部分区县将出现对交通有影响的道路结冰现象。请有关单位和人员做好...,道路 结冰 做好 交通 行驶 指南 当路 防御 自行车 黄色
17,九江修水县情侣为骗保火烧流浪汉：情侣买10万保险后，将智障流浪汉带上车，伪造车辆自燃，致其重度烧伤。,民警 男子 烧伤 女子 面包车 重度 情侣 殉情 发现 现场
18,公安县男子与江陵县男子生产300多吨伪劣农药，因经济纠纷找警察评理，均被刑拘。,生产 民警 农药 男子 伪劣 评理 发现 合伙 竟用 纠纷
19,释永信将率团赴泰展演少林功夫，举报者称其或潜逃；被开除弟子释延鲁否认是“释正义”，曾是释永信身边红人，普京女儿拜其为师。,方丈 京报 记者 少林 正义 举报 弟子 部门 公司 宗教局
